SerialNo,SerialNo_Normalized,LibraryNumber,begLineNo,endLineNo,nLines,byteCount,Collection,Title-English,Title-Sanskrit,Title-Tibetan,"Title-Tibetan Brief",SealIDs,Author-Tibetan,Author-English,Primary-Author-Tibetan,Primary-Author-English,SectionVolume,volume,volNdx,Colophon,Language,"Folios or pages","Published date","Text Format","Paper source","Paper hue","Paper grade",Readability,"Lines Per Page","Page Size","Printed area size",Location,"Drawings and illustrations",Notes,modDate,"Cataloger Name",Z,J,J1,J2,J3,W,crDate,refFrom,hasDupSerNos,dupSerNoIDs,isDupSerNo,dupTitleDeleted,dupTitleIDs,dontUse,parentFilePath,parentRecID,text,addedToWork,recID
M0054964-004,M0054964-004,,699,734,36,19673,,,,"DAM CAN CHOS KYI RGYAL PO'I GTOR CHOG BSKANG GSO BSTOD BSKUL DANG BCAS PA BZHUGS SO",CHOS,,"MKHAS GRUB RJE",,"DGE LEGS DPAL BZANG","Gelek Pelzang",,,0,"@019A *, ,DAM CAN CHOS RGYAL MA HE'I ZHAL CAN LA TZA MUndI
DANG, YA BA TI LA SOGS PA GSHIN RJE PHO

MO'I 'KHOR GYIS BSKOR BA NI PHYI SGRUB DANG, ,KHRO BO'I ZHAL CAN
LA MA HE'I ZHAL CAN BZHIS BSKOR BA NI, RJE NYID LA DPAL RDO RJE
'JIGS BYED KYIS MNGON SUM DU BKA' BSKO MDZAD NAS

BRAN DU BKOS PA'I CHOS RGYAL NANG SGRUB SHIN TU GNYAN PA YIN TE,
DE GNYIS LA GTOR MA 'BUL BA'I CHO GA CUNG ZAD RGYAS PAR PHYE BA,
RJE DE NYID KYI ZHABS KYI PADMO LA GUS PAS GTUGS

PA'I ZHAL GYI MAN NGAG 'DZIN PA, GSHIN RJE'I GSHED KYI RNAL
'BYOR PA DGE LEGS DPAL BZANG POS NYANG STOD RIG PA'I 'BYUNG
GNAS RI BO MDANGS CAN GYI DGON PAR SBYAR BA'O, ,",,1A-19A,,XYL,M,"W, W",G,G,6,"39.5x9.0 cm","32.5x6.0 cm",,,,"2002-01-02 13:46:32",,1623,M0509921.086-1623,,,,MSHO,"2002-01-02 13:46:32",,1,3799,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0509921-2.086",28107,,0,37200
M0054964-059,M0054964-059,,362,395,34,15473,,,,"CHO 'PHRUL BSTOD PA RGYA CHEN TSOGS GNYIS MA BZHUGS",,,"MKHAS GRUB RJE",,"DGE LEGS DPAL BZANG","Gelek Pelzang",,,0,"@003B ZHES PA 'DI YANG BKRA SHIS LHUN PO'I DNGUL GDUNG LHA
KHANG DU CHO

@004A *, ,'PHRUL GYI MDZAD PA RIN PO CHE BRI BA'I DUS, PIR THOGS
DBANG PO CHOS KYI RJE BLO BZANG CHOS 'PHEL DPON SLOB DANG, DKA'
BCU TSOGS

GSOG PA LEGS PA CHOS 'BYOR RNAMS KYIS BSKUL BA LA BRTEN NAS STON
PA MCHOG DE'I RJES SU BYUNG BA SH'AKYA'I DGE SLONG BLO BZANG
CHOS KYI RGYAL MTSAN GYIS CHOS GRVA

CHEN PO BKRA SHIS LHUN PO'I GZIMS KHANG DU THOGS MED DU SBYAR
BA'O,, ,,",,1A-4A,,XYL,R,"W, W",G,G,5,"43.0x9.0 cm","34.0x6.0 cm",,,,"2009-10-30 22:34:44",,1800,M0509923.088-0855,,,,MSHO,"2009-10-30 22:34:44",,1,27618,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/Mongolian Library Catalog/Received on disk/Catalog on CD June 2010/ACIP/NEW.SYS/2008-09.CAT/MSHO/2009-12.CAT/M0509923.088",3272,,0,254820
M0054967-032,M0054967-032,,31,53,23,14437,,,,"SHAMHA LA'I SMON LAM ZHES BYA BA BZHUGS SO",,,"BLO BZANG DPAL LDAN YE SHES",,"DPAL LDAN YE SHES","Pelden Yeshe",,,0,"@002B (SH'AKYA'I DGE SLONG BLO BZANG DPAL LDAN YE SHES SBYAR
BA'O, ,DGE'O, ,)",,1A-2A,,XYL,R,"W, W",G,G,6,"22.0x9.0 cm","19.7x6.0 cm",,,,"2002-01-02 02:06:46",,1800,M0509930.093-0900,,,,MSHO,"2002-01-02 02:06:46",,1,30104,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/Mongolian Library Catalog/Received on disk/Catalog on CD June 2010/ACIP/NEW.SYS/2008-09.CAT/MSHO/2009-12.CAT/M0509930.093",3210,,0,24552
M0054969-042,M0054969-042,,496,517,22,14156,,,,"RJE BTZUN 'JAM DPAL DBYANGS KYI BSTOD PA BZHUGS SO",,,,,,,,,0,,,1A-3B,,XYL,M,"W, W",G,G,6,"41.5x9.0 cm","33.0x6.0 cm",,,,"2009-11-24 13:35:26",,1800,M0509A05.096-0900,,,,MSHO,"2009-11-24 13:35:26",,1,29155,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/Mongolian Library Catalog/Received on disk/Catalog on CD June 2010/ACIP/NEW.SYS/2008-09.CAT/MSHO/2009-12.CAT/M0509A05.096",3189,,0,258540
M0054976-024,M0054976-024,,458,494,37,20096,,,,"RTA MGRIN GSANG SGRUB KYI SGRUBS THABS DREGS PA KUN 'DUL ZHES BYA BA BZHUGS SO",,,"DHARMA BADZRA",,,,,,0,"@005B (CES BSNGO SMON LAM BKRA SHIS BYA'O, ,CES RTA
MGRIN GSANG SGRUB

KYI SGRUB THABS TSIG NYUNG LA, DON CHA TSANG BA TSIGS BCAD DU
BSDEBS PA 'DI 'DRA ZHIG DGOS ZHES, DKON MCHOG BLA MAR 'DZIN CING
DAD PA

@006A *, ,DANG GTER BA LA SOGS PA DAM BAS BSNGAGS PA'I YON TAN
DANG LDAN PA DUR BER WANG PHUN TSOGS BSAM GRUB

GYI DPON SA NOR BU R'A GAS NAN GYIS BSKUL NGOR, ~KU S'A LI
DHARMA BADZRA GYIS AOR DU SU WANG GI HO RO'I SKAR THOG TU THUN
GCIG LA

MGYOGS PAR SBYAR BA'O,, DGE'O,, SARBA MANGGA LAm,,)",,1A-6A,,MS,R,"W, W",G,G,22,"18.5x5.5 cm",6,,,,"2010-01-07 23:41:34",,1800,M0509A28.113-0900,,,,MSHO,"2010-01-07 23:41:34",,0,,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/Mongolian Library Catalog/Received on disk/Catalog on CD June 2010/ACIP/NEW.SYS/2008-09.CAT/MSHO/2009-12.CAT/M0509A28.113",3299,,0,264864
M0054979-033,M0054979-033,,743,765,23,18936,,,,"SDUG BSNGAL SEL BA'I SGRON MA'I SGRUB THABS BZHUGS",TAm,,"BLO BZANG CHOS KYI NYI MA",,"BLO BZANG CHOS KYI NYI MA (3)","Losang Chukyi Nyima",,,0,"@003A *, ,(ZHES PA 'DI YANG 'GA' ZHIG LA PHAN PA'I CHED DU DHA
RMA BADZRA GYIS TSIGS BCAD DU BSDEBS PA'O,, ,,)",,1A-3A,,XYL,M,"W, W",G,G,6,"52.5x9.0 cm","41.0x6.5 cm",,,,"2009-11-19 23:00:28",,1800,M0509B06.120-0900,,,,MSHO,"2009-11-19 23:00:28",,1,28837,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/Mongolian Library Catalog/Received on disk/Catalog on CD June 2010/ACIP/NEW.SYS/2008-09.CAT/MSHO/2009-12.CAT/M0509B06.120",3259,,0,258168
M0054980-076,M0054980-076,,3,33,31,19069,,,,"'PHAGS RGYAL MTSAN GYI RTZE MO'I DPUNG RGYAN ZHES BYA BA BZHUGS SO",,,"SH'AKYA THUB PA",,"SH'AKYA THUB PA",,,,0,"@004B BCOM LDAN 'DAS KYIS DE SKAD CES

BKA' STZAL NAS, LHA'I DBANG BRGYA BYIN DANG, LHA DANG MI DANG
LHA MA YIN DANG, DRI ZAR BCAS PA'I 'JIG

RTEN YI RANG STE, BCOM LDAN 'DAS KYIS GSUNGS PA LA MNGON PAR
BSTOD DO, 'PHAGS RGYAL MTSAN

GYI RTZE MO'I DPUNG RGYAN ZHES BYA BA'I GZUNGS RDZOGS SO,, ,,",,1A-4B,,MS,R,"W, W",G,G,7,"22.3x9.0 cm","18.5x7.5 cm",,,,"2009-12-04 03:16:44",,1800,M0509B12.124-0900,,,,MSHO,"2009-12-04 03:16:44",,1,3916,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (3)/M0509B12-2.124",29318,,0,259656
M0054996-097,M0054996-097,,527,549,23,9847,,,,"JO BO AA TI SHA'I BSTOD MGUR ZHES BYA BA BZHUGS",,,"BLO BZANG CHOS KYI RGYAL MTSAN",,"PAn CHEN BLO BZANG CHOS KYI RGYAL MTSAN","Panchen Losang Chukyi Gyeltsen",,,0,"@002A *, ,('DI NI PAn CHEN BLO BZANG CHOS KYI RGYAL MTSAN GYI
GSUNG NGO,,)",,1A-2A,,XYL,M,"W, W",G,G,6,"52.5x10.0 cm","46.0x7.0 cm",,,,"2009-12-29 21:14:00",,1800,M0509C23.152-0900,,,,MSHO,"2009-12-29 21:14:00",,0,,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/Mongolian Library Catalog/Received on disk/Catalog on CD June 2010/ACIP/NEW.SYS/2008-09.CAT/MSHO/2009-12.CAT/M0509C23.152",3219,,0,263376
M0055021-017,M0055021-017,,183,206,24,10434,,,,"'PHAGS PA BZANG PO SPYOD PA'I SMON LAM GYI RGYAL PO BZHUGS SO",,,,,,,,,0,"@015A *, ,('PHAGS PA BZANG PO SPYOD PA'I SMON LAM GYI RGYAL PO
RDZOGS SO,, ,,BKRA SHIS PAR GYUR CIG , ,,)",,1A-15A,,XYL,M,"W, W",G,G,4,"29.0x7.5 cm","25.0x5.0 cm","RGYA NAG PAR",,,"2009-05-14 23:37:10",,1810,M0519507.017-0900,,,,MMU,"2009-05-14 23:37:10",,1,29788,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (2)/MMU/M0519507.017",24777,,0,228408
M0055084-021,M0055084-021,,626,651,26,12738,,,,"GTZUG TOR GDUGS DKAR LA BRTEN PA'I BZLOG PA GRUB CHEN LAS KYI RDO RJES MDZAD PA BZHUGS SO",,,"LAS KYI RDO RJE",,,,,,0,"@019A *, ,(CES GTZUG TOR GDUGS DKAR LA BRTEN

PA'I BZLOG PA GRUB CHEN LAS KYI RDO RJES MDZAD PA DZA YANTU,,
,,BKRA SHIS, ,)",,18B-19A,,XYL,M,"W, W",G,G,6,"36.5x9.5 cm","29.5x7.5 cm",,,,"2009-08-19 01:16:58",,1800,M0519806.073-0900,,,,MMU,"2009-08-19 01:16:58",,1,27572,0,0,,0,"/Users/venphil/Mongolian Catalog/catalogs/mongolia catalog/New folder (2)/MMU/M0519806.073",24890,,0,244404
